bam	read_counts
IAN_2brad_L2_8_S16_L002_R1_001_AGAC	2588631
IAN_2brad_L2_8_S16_L002_R1_001_AGTG	1516979
IAN_2brad_L2_8_S16_L002_R1_001_CATC	2880891
IAN_2brad_L2_8_S16_L002_R1_001_CTAC	1275154
IAN_2brad_L2_8_S16_L002_R1_001_GACT	1820366
IAN_2brad_L2_8_S16_L002_R1_001_GCTT	1252289
IAN_2brad_L2_8_S16_L002_R1_001_GTGA	1810930
IAN_2brad_L2_8_S16_L002_R1_001_TCAC	1878054
IAN_2brad_L2_8_S16_L002_R1_001_TCAG	2133732
IAN_2brad_L2_8_S16_L002_R1_001_TGGT	878207
IAN_2brad_L2_8_S16_L002_R1_001_TGTC	1414085
IAN_2brad_L3_1_S1_L001_R1_001_ACCA	861571
IAN_2brad_L3_1_S1_L001_R1_001_AGAC	512821
IAN_2brad_L3_1_S1_L001_R1_001_AGTG	1094055
IAN_2brad_L3_1_S1_L001_R1_001_CATC	683732
IAN_2brad_L3_1_S1_L001_R1_001_CTAC	1329738
IAN_2brad_L3_1_S1_L001_R1_001_GACT	1766362
IAN_2brad_L3_1_S1_L001_R1_001_GCTT	832352
IAN_2brad_L3_1_S1_L001_R1_001_GTGA	636017
IAN_2brad_L3_1_S1_L001_R1_001_TCAC	1839786
IAN_2brad_L3_1_S1_L001_R1_001_TCAG	1770283
IAN_2brad_L3_1_S1_L001_R1_001_TGGT	1173937
IAN_2brad_L3_1_S1_L001_R1_001_TGTC	1113792
IAN_2brad_L3_2_S2_L001_R1_001_ACCA	1152829
IAN_2brad_L3_2_S2_L001_R1_001_AGAC	1110408
IAN_2brad_L3_2_S2_L001_R1_001_AGTG	1039669
IAN_2brad_L3_2_S2_L001_R1_001_CATC	577463
IAN_2brad_L3_2_S2_L001_R1_001_CTAC	720881
IAN_2brad_L3_2_S2_L001_R1_001_GACT	958936
IAN_2brad_L3_2_S2_L001_R1_001_GCTT	1075669
IAN_2brad_L3_2_S2_L001_R1_001_GTGA	1086544
IAN_2brad_L3_2_S2_L001_R1_001_TCAC	1314049
IAN_2brad_L3_2_S2_L001_R1_001_TCAG	953791
IAN_2brad_L3_2_S2_L001_R1_001_TGGT	1543954
IAN_2brad_L3_2_S2_L001_R1_001_TGTC	1614820
IAN_2brad_L3_3_S3_L001_R1_001_ACCA	685638
IAN_2brad_L3_3_S3_L001_R1_001_AGAC	1474956
IAN_2brad_L3_3_S3_L001_R1_001_AGTG	1069358
IAN_2brad_L3_3_S3_L001_R1_001_CATC	420710
IAN_2brad_L3_3_S3_L001_R1_001_CTAC	761987
IAN_2brad_L3_3_S3_L001_R1_001_GACT	1303139
IAN_2brad_L3_3_S3_L001_R1_001_GCTT	1286927
IAN_2brad_L3_3_S3_L001_R1_001_GTGA	1160829
IAN_2brad_L3_3_S3_L001_R1_001_TCAC	1294643
IAN_2brad_L3_3_S3_L001_R1_001_TCAG	797500
IAN_2brad_L3_3_S3_L001_R1_001_TGTC	1616973
IAN_2brad_L3_4_S4_L001_R1_001_ACCA	1137838
IAN_2brad_L3_4_S4_L001_R1_001_AGTG	1218882
IAN_2brad_L3_4_S4_L001_R1_001_CATC	866756
IAN_2brad_L3_4_S4_L001_R1_001_CTAC	1091790
IAN_2brad_L3_4_S4_L001_R1_001_GCTT	1338264
IAN_2brad_L3_4_S4_L001_R1_001_GTGA	1066795
IAN_2brad_L3_4_S4_L001_R1_001_TCAC	1520526
IAN_2brad_L3_4_S4_L001_R1_001_TCAG	1620316
IAN_2brad_L3_4_S4_L001_R1_001_TGGT	591621
IAN_2brad_L3_4_S4_L001_R1_001_TGTC	1461867
IAN_2brad_L3_5_S5_L001_R1_001_ACCA	1210431
IAN_2brad_L3_5_S5_L001_R1_001_AGAC	1317870
IAN_2brad_L3_5_S5_L001_R1_001_AGTG	1069527
IAN_2brad_L3_5_S5_L001_R1_001_CATC	1321071
IAN_2brad_L3_5_S5_L001_R1_001_CTAC	1267306
IAN_2brad_L3_5_S5_L001_R1_001_GACT	2204301
IAN_2brad_L3_5_S5_L001_R1_001_GCTT	1295162
IAN_2brad_L3_5_S5_L001_R1_001_GTGA	1524591
IAN_2brad_L3_5_S5_L001_R1_001_TCAC	2527580
IAN_2brad_L3_5_S5_L001_R1_001_TCAG	1548326
IAN_2brad_L3_5_S5_L001_R1_001_TGGT	2337476
IAN_2brad_L3_5_S5_L001_R1_001_TGTC	1847572
IAN_2brad_L3_6_S6_L001_R1_001_ACCA	595661
IAN_2brad_L3_6_S6_L001_R1_001_AGAC	2117028
IAN_2brad_L3_6_S6_L001_R1_001_CATC	416617
IAN_2brad_L3_6_S6_L001_R1_001_CTAC	1707347
IAN_2brad_L3_6_S6_L001_R1_001_GACT	1788357
IAN_2brad_L3_6_S6_L001_R1_001_GCTT	1108707
IAN_2brad_L3_6_S6_L001_R1_001_GTGA	1221017
IAN_2brad_L3_6_S6_L001_R1_001_TCAC	1558144
IAN_2brad_L3_6_S6_L001_R1_001_TCAG	904688
IAN_2brad_L3_6_S6_L001_R1_001_TGGT	1356283
IAN_2brad_L3_6_S6_L001_R1_001_TGTC	1354216
IAN_2brad_L3_7_S7_L001_R1_001_ACCA	1564055
IAN_2brad_L3_7_S7_L001_R1_001_AGAC	1231665
IAN_2brad_L3_7_S7_L001_R1_001_AGTG	1470403
IAN_2brad_L3_7_S7_L001_R1_001_CATC	1743571
IAN_2brad_L3_7_S7_L001_R1_001_CTAC	1094456
IAN_2brad_L3_7_S7_L001_R1_001_GACT	1221634
IAN_2brad_L3_7_S7_L001_R1_001_GCTT	1189416
IAN_2brad_L3_7_S7_L001_R1_001_GTGA	1645287
IAN_2brad_L3_7_S7_L001_R1_001_TCAC	1408440
IAN_2brad_L3_7_S7_L001_R1_001_TCAG	1101929
IAN_2brad_L3_7_S7_L001_R1_001_TGGT	1615682
IAN_2brad_L3_7_S7_L001_R1_001_TGTC	1772418
IAN_2brad_L3_8_S8_L001_R1_001_ACCA	818405
